Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
24,аптека,Аптеки; Процедурный кабинет,"улица Каныша Сатпаева, 37",1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (процедурный кабинет: пн-вс 9:00-21:00),+05:00,3.2,115,87750586309,87272453453,,tokseitov@list.ru,,,,https://instagram.com/procedurnyi_kabinet,,,https://wa.me/77750586309,,,,,,43.236096,76.907231,https://2gis.com/firm/70000001027538383,branch
Асай-Фарм ,аптека ,Аптеки,"микрорайон Дарабоз, 37",,050038,Дарабоз м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.9,31,87024044802,87473423389,,asay.orman.15@bk.ru,erlik.dyusembaev@mail.ru,,,https://instagram.com/asai.pharm_med,,,https://wa.me/77024044802,https://wa.me/77473423389,,,,,43.267666,76.820445,https://2gis.com/firm/70000001058942319,branch
ФармДим,Аптека,Аптеки,"улица Толе би, 189/3 к4",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,5.0,3,87088506640,87021841810,,farmdim2023@mail.ru,,,,,,,https://wa.me/77088506640,https://wa.me/77021841810,,,,,43.252321,76.896873,https://2gis.com/firm/70000001076286884,branch
Daribar.kz,онлайн-аптека,Аптеки,,,,,,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,261,87000001464,,,,,http://daribar.kz,,,,,https://wa.me/77089314480,,,,,,,,https://2gis.com/firm/70000001063312228,branch
Home apothecary,,Аптеки; Товары для новорождённых,"улица Егизбаева, 7/9",177 офис; 1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.9,64,87755319493,,,,,,,https://instagram.com/homeapothecary02,,,https://wa.me/77755319493,,,,,,43.230175,76.88481,https://2gis.com/firm/70000001063624081,branch
МТ-Фарм,аптека,Аптеки,"проспект Турара Рыскулова, 155/1",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,46,87712752181,87273818813,,apteka.puls@list.ru,,,,,,,https://wa.me/77712752181,,,,,,43.248909,76.837122,https://2gis.com/firm/9429940001445494,branch
NurLab,аптека,Аптеки,"проспект Райымбека, 259",,050034,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,28,87006404000,,,info.nurlab@gmail.com,nur.lab@bk.ru,http://nurlab.kz,,https://instagram.com/nurlab2030,,,,,,,,,43.261504,76.89211,https://2gis.com/firm/70000001075828432,branch
MSP,аптека,Аптеки,"улица Тюлькубасская, 4а",1 этаж,050018,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.9,43,87273315430,,,,,http://www.medservice.kz,,,,,,,,,,,43.288799,76.950819,https://2gis.com/firm/70000001027821914,branch
AK-Med pharmacy ,,Аптеки; Процедурный кабинет,"улица Шевченко, 96",,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (процедурный кабинет: пн-пт 09:00-22:00; сб-вс 13:30-22:00),+05:00,2.2,12,87755571502 (круглосуточный),87472329080 (пн-вс 09:00-22:00  ),,akmedparmacy@mail.ru,,,,,,,https://wa.me/77755571502,https://wa.me/77472329080,,,,,43.245385,76.934536,https://2gis.com/firm/70000001086746953,branch
Ожет,аптека,Аптеки; Детское питание; Средства гигиены; БАДы,"улица Бекболата, 20а",,050024,Ожет м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.9,34,87272981754,87079070968,,,,http://www.tiktok.com/@apteka_ozhet,,,,,https://wa.me/77079070968,,,,,,43.316635,76.887957,https://2gis.com/firm/9429940000980014,branch
Алматы Фарма,аптека,Аптеки,"улица Ер Тостык, 3 к2",1 этаж,,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.7,54,87279705035,87089705035,,almatypharma@bk.ru,,,,,,,https://wa.me/77089705035,,,,,,43.191557,76.808966,https://2gis.com/firm/70000001064773068,branch
Ask Pharm,аптека,Аптеки; Средства гигиены; Детское питание,"микрорайон Аксай-5, 25",,050063,Аксай-5 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.8,63,87075459997,,,askpharm20@gmail.com,,,,,,,https://wa.me/77075459997,,,,,,43.232418,76.832037,https://2gis.com/firm/70000001064228590,branch
Лаймфарма,аптека,Аптеки,"улица Байтерекова, 55",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,3.7,39,87782574070,87475530407,,,,,,,,,https://wa.me/77782574070,https://wa.me/77475530407,,,,,43.261863,76.821031,https://2gis.com/firm/70000001063340587,branch
Amir Farm Company,аптека,Аптеки; Процедурный кабинет; Контактные линзы,"микрорайон Дарабоз, 61",52 офис,050038,Дарабоз м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,21,87470518044,,,,,,,,,,https://wa.me/77470518044,,,,,,43.268004,76.819528,https://2gis.com/firm/70000001086713500,branch
Gold medicine,аптека,Аптеки,"улица Садвакасова, 172",2 этаж,050063,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:30-20:00; Вт: 09:30-20:00; Ср: 09:30-20:00; Чт: 09:30-20:00; Пт: 09:30-20:00; Сб: 10:30-18:00; Вс: 10:30-18:00,+05:00,4.2,267,87076065024,,,,,,,,,,https://wa.me/77076065024,,,,,,43.214609,76.837283,https://2gis.com/firm/70000001065987372,branch
Аптека,ИП Жаулыбекова А.С.,Аптеки,"улица Даулеткерея, 120",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.5,18,87014305270,87076904151,,,,,,,,,https://wa.me/77014305270,https://wa.me/77076904151,,,,,43.187527,76.806322,https://2gis.com/firm/70000001034336308,branch
Аптека,,Аптеки,"улица Московская, 15",1 этаж,,Тастыбулак м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.4,9,87058053490,,,,,,,,,,https://wa.me/77058053490,,,,,,43.182875,76.816559,https://2gis.com/firm/70000001064308023,branch
Аптека,,Аптеки,"улица Московская, 15",1 этаж,,Тастыбулак м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,2.8,30,87009743977,,,,,,,,,,,,,,,,43.182925,76.816686,https://2gis.com/firm/70000001041385787,branch
Pharmacom,аптека,Аптеки; БАДы; Средства гигиены; Детское питание; Товары для новорождённых,"микрорайон Таусамалы, 98",,,Тау Самал жилой комплекс,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.0,5,87075360280,,,,,http://pharma.com.kz,,https://instagram.com/pharmacomkz,,,,,,,,,43.205602,76.815986,https://2gis.com/firm/70000001082858681,branch
AS Pharm,аптека,Аптеки; Процедурный кабинет; Доставка лекарств; Детское питание,"улица Жандосова, 1/12",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,4.0,4,87028036466,,,,,,,,,,https://wa.me/77051265658,,,,,,43.17911,76.803189,https://2gis.com/firm/70000001084547351,branch
Аптека,,Аптеки,"улица Салыка Зиманова, 14а",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.0,11,87471066144,,,,,,,,,,https://wa.me/77471066144,,,,,,43.195904,76.802676,https://2gis.com/firm/70000001033987993,branch
Бектур,аптека,Аптеки,"улица Алтын Алма, 13/1",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.8,12,87273934170,,,,,,,,,,,,,,,,43.176443,76.797342,https://2gis.com/firm/70000001026718410,branch
Atabay Pharm,аптека,Аптеки,"улица Жандосова, 254",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,3.9,15,87473398848,,,,,,,https://instagram.com/atabaypharmkz,,,https://wa.me/77473398848,,,,,,43.175618,76.79224,https://2gis.com/firm/70000001060550634,branch
Аптека,,Аптеки,"улица Московская, 15",1 этаж,,Тастыбулак м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,2.3,3,,,,,,,,,,,,,,,,,43.182875,76.816559,https://2gis.com/firm/70000001043815535,branch
Садыхан,аптека №9,Аптеки,"микрорайон Мамыр 2, 3",1 этаж,050036,Мамыр-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.5,160,87272555490,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.211524,76.849971,https://2gis.com/firm/70000001027293773,branch
Алмасат,аптека,Аптеки,"Жетысу-1 микрорайон, 55а",1 этаж,050063,Жетысу-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,2.9,230,87273035353,,,,,,,,,,,,,,,,43.217332,76.839739,https://2gis.com/firm/9429940000917648,branch
Аптека Со склада,,Аптеки,"микрорайон Мамыр 7, 11",,050036,Мамыр-7 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.1,52,87273394272,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.212484,76.840751,https://2gis.com/firm/70000001059965159,branch
Аптека Со склада,,Аптеки,"9-й микрорайон, 3а",,050036,9-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.0,105,87273394279,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.211118,76.860214,https://2gis.com/firm/70000001060990676,branch
Аптека Со склада,,Аптеки,"микрорайон Астана, 1/10",,050036,Астана м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,1.7,148,87273394295,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.212991,76.856328,https://2gis.com/firm/70000001060990437,branch
Садыхан,сеть социальных аптек,Аптеки,"микрорайон 10а, 11",1 этаж,050036,10а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.9,52,87273410596,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.216661,76.862177,https://2gis.com/firm/70000001047635791,branch
Биосфера,аптека,Аптеки; Детское питание,"6-й микрорайон, 48",1 этаж,050036,6-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,3.2,18,87272684651,,,,,http://biosfera.kz,,,,,,,,,,,43.220249,76.852713,https://2gis.com/firm/70000001024523333,branch
Лекарь Фарм,,Аптеки,"микрорайон 10а, 22а",1 этаж,050036,10а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,1.9,13,87273386003,87081018845,,,,,,https://instagram.com/lekar_apteka_kz,,,https://wa.me/77081018845,,,,,,43.215511,76.856161,https://2gis.com/firm/70000001066937279,branch
Pharmacom,аптека,Аптеки; БАДы; Средства гигиены; Детское питание; Товары для новорождённых,"микрорайон Мамыр 1, 8а",1 этаж,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,3.3,20,87273399320,,,,,http://pharma.com.kz,,https://instagram.com/pharmacomkz,,,,,,,,,43.212365,76.84205,https://2gis.com/firm/9429940000821926,branch
Pharmacom,аптека,Аптеки; БАДы; Средства гигиены; Детское питание; Товары для новорождённых,"микрорайон 10а, 7а",1 этаж,050036,10а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.6,35,87273028095,,,,,http://pharma.com.kz,,https://instagram.com/pharmacomkz,,,,,,,,,43.216127,76.861082,https://2gis.com/firm/70000001060236747,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"10-й микрорайон, 11",,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,2.3,4,87273396723,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.21858,76.865991,https://2gis.com/firm/70000001087704882,branch
Аптека Со склада,,Аптеки,"микрорайон Жетысу-4, 1",,050063,Жетысу-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (летний период: 8:00-22:00),+05:00,2.4,34,,,,,,,,https://instagram.com/aptekasosklada,,,,,,,,,43.21941,76.837697,https://2gis.com/firm/70000001079800647,branch
Melissa,сеть аптек,Аптеки,"микрорайон Таугуль, 49",1 этаж,050042,Таугуль м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,102,87272910888,87272912277,87012960888,,,http://melissaapteka.kz,,https://instagram.com/melissa_apteka,,,https://wa.me/77012960888,,,,,,43.211745,76.870223,https://2gis.com/firm/9429940000819606,branch
Рауза-АДЕ,сеть аптечных складов,Аптеки,"10-й микрорайон, 59Б",,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,,,87273912827,87273453030 (служба доставки: пн-вс 8:00-21:00),87075013686 (служба доставки: пн-вс 8:00-21:00 ),callcenter@rauzapharm.com,,http://rauza-ade.kz,,https://instagram.com/rauza_almaty,,,,,,,,,43.214169,76.86769,https://2gis.com/firm/70000001088987254,branch
Pharmacom,аптека,Аптеки; БАДы; Средства гигиены; Детское питание; Товары для новорождённых,"микрорайон Куаныш, 11в/28",цокольный этаж,050052,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,1.9,35,87273390170,,,,,http://pharma.com.kz,,https://instagram.com/pharmacomkz,,,,,,,,,43.207525,76.85827,https://2gis.com/firm/70000001023919003,branch
Садыхан,сеть социальных аптек,Аптеки,"9-й микрорайон, 35а",,050036,9-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.2,56,87273410539,87073494949,,managersrp-gk@sadykhan.kz,,http://sadykhan.kz,,https://instagram.com/sadykhan.kz,,,https://wa.me/77073494949,,,,,,43.215817,76.865189,https://2gis.com/firm/70000001057860173,branch
