Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Arasan Fitness,фитнес-клуб,Фитнес-клубы; Тонизирующие салоны; Тренажёрные залы,"улица Тулебаева, 78",цокольный этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 08:00-20:00,+05:00,4.4,8,87019827804,,,info@arasan-spa.kz,http://arasan-spa.kz,,https://instagram.com/arasanspacomplex,,,,https://wa.me/77019827804,,,,,,,43.25874,76.948601,https://2gis.com/firm/70000001046372617,branch
GRANDPOOL,фитнес-центр,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивные секции; Бассейны,"улица Жандосова, 55/9",1 этаж,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.2,170,87273771336,87785388746,,info@grandpool.kz,http://www.grandpool.kz,,https://instagram.com/grandpool_fitness_kz,,,,https://wa.me/77785388746,,,,,,,43.215762,76.871154,https://2gis.com/firm/9429940001260729,branch
Dance Studio 29,компания,Фитнес-клубы; Обучение танцам; Творческие коллективы,"улица Гоголя, 84а",2 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-15:00, 16:00-22:00; Вт: 10:00-15:00, 16:00-22:00; Ср: 10:00-15:00, 16:00-22:00; Чт: 10:00-15:00, 16:00-22:00; Пт: 10:00-15:00, 16:00-22:00; Сб: 10:00-20:30; Вс: 10:00-20:30 (по предварительной записи: пн-сб)",+05:00,4.5,60,87074853110,,,dancestudio29@mail.ru,,,https://instagram.com/dancestudio29,,,,https://wa.me/77074853110,,,,,,,43.258757,76.936981,https://2gis.com/firm/9429940001397400,branch
Royal club,спортивный клуб,Фитнес-клубы; Спортивные секции; Обучение танцам; Тренажёрные залы,"улица Ботанический Сад, 26",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+05:00,4.0,71,87273565555,,,,http://almaty.royalfitness.kz,,https://instagram.com/royal_clubs_almaty,,https://facebook.com/RoyalClubFitnessSpa,,https://wa.me/77011913588,,,,,,,43.216607,76.907237,https://2gis.com/firm/70000001052199408,branch
Tamos family fitness,спортивный комплекс,Фитнес-клубы; Бассейны; Спортивные секции; Тренажёрные залы; Детские / подростковые клубы,"улица Какимбека Салыкова, 50/1",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи),+05:00,4.5,129,87086506356,,,tamosfamilyfit@gmail.com,,,https://instagram.com/tamosfamilyfitness,,,,https://wa.me/77086506356,,,,,,,43.167603,76.909687,https://2gis.com/firm/70000001032641677,branch
Invictus GO,,Фитнес-клубы; Тренажёрные залы,"улица Навои, 97",1 этаж,050042,Таугуль-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.4,266,87770350850,,,,http://invictusgo.kz,,https://instagram.com/invictusgo,,https://facebook.com/invictusgokz,,https://wa.me/77770350850,,,,,,https://youtube.com/@invictuskz,43.2102,76.882686,https://2gis.com/firm/70000001066599740,branch
Progym,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Калдаякова, 17",со стороны ул. Зенкова,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-23:00; Вс: 10:00-22:00,+05:00,4.6,165,87089354880,87475150569,,,http://tiktok.com/@progymkz,,https://instagram.com/progymkz,,,,https://wa.me/77089354880,https://wa.me/77475150569,,,https://t.me/+77086149109,,,43.261481,76.956487,https://2gis.com/firm/70000001019509665,branch
THE SPA RIXOS ALMATY,SPA-центр,Фитнес-клубы; Массажист; Тренажёрные залы; Бани / Сауны; SPA-процедуры,"проспект Сейфуллина, 506",-1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.1,49,87273003330,87012144332,,thespa.almaty@rixos.com,,,https://instagram.com/rixosalmaty_spa,,https://facebook.com/thesparixosalmaty,,https://wa.me/77012144332,,,,,,,43.249469,76.934037,https://2gis.com/firm/9429940000940098,branch
D-fitness,спортивно-оздоровительный комплекс,Фитнес-клубы; Тренажёрные залы,"12-й микрорайон, 20а",,050036,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 11:00-19:00,+05:00,3.1,518,87273032600,87272219449,87473032600,,http://www.dfitness.kz,,https://instagram.com/dfitness_almaty,,https://facebook.com/dfitnessalmaty,,https://wa.me/77473032600,,,,,,,43.220255,76.866776,https://2gis.com/firm/9429940001396013,branch
Avantgarde,фитнес-клуб,Фитнес-клубы,"улица Навои, 7",цокольный этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,99,87024677040,87079847464,,,,,https://instagram.com/avantgarde_gym_navoi,,,,https://wa.me/77024677040,,,,,,,43.21858,76.880007,https://2gis.com/firm/70000001080965388,branch
First fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции; Обучение танцам; Аренда спортивных площадок,"микрорайон Таугуль-1, 22/1",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 06:30-23:30; Вт: 06:30-23:30; Ср: 06:30-23:30; Чт: 06:30-23:30; Пт: 06:30-23:30; Сб: 08:00-22:00; Вс: 09:00-21:00,+05:00,4.0,185,87071640657,,,,http://firstfitness.kz,,https://instagram.com/firstfitnesskz,,,,https://wa.me/77071640657,,,,,,,43.213634,76.878596,https://2gis.com/firm/70000001032529718,branch
Salvare La Vita,женский фитнес-клуб,Фитнес-клубы; Бассейны; Бани / Сауны; Студии загара; SPA-процедуры,"проспект Абая, 150/230 блок 6",цокольный этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-20:00 (по предварительной записи),+05:00,4.3,50,87770161415,,,,,,https://instagram.com/slv_fitness_spa,,,,https://wa.me/77770161415,,,,,,,43.23637,76.884165,https://2gis.com/firm/70000001059390702,branch
Invictus GO,,Фитнес-клубы; Тренажёрные залы,"микрорайон Мамыр 1, 26/1",1 этаж,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.6,134,87768005558,,,,http://invictusgo.kz,,https://instagram.com/invictusgo,,https://facebook.com/invictusgokz,,https://wa.me/77768005558,,,,,,https://youtube.com/@invictuskz,43.211309,76.848866,https://2gis.com/firm/70000001087001369,branch
Prostretching Taugul,женская фитнес-студия,Фитнес-клубы,"микрорайон Таугуль-2, 37а",7 офис; 3 этаж,050042,Таугуль-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-13:00, 17:00-21:00; Вт: 09:00-13:00, 17:00-21:00; Ср: 07:30-13:00, 17:00-21:00; Чт: 09:00-13:00, 17:00-21:00; Пт: 07:30-13:00, 17:00-21:00; Сб: 09:00-15:00; Вс: 09:00-13:00",+05:00,4.5,95,87771241515,,,,,,https://instagram.com/prostretching.taugul,,,,https://wa.me/77771241515,,,,https://t.me/+77771241515,,,43.209405,76.881974,https://2gis.com/firm/70000001028796980,branch
S89 Athletic Pro Club,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Гагарина, 244а",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 08:00-22:00; Вс: 09:00-21:00,+05:00,4.6,171,87003550290,,,,http://s89fitness.kz/gagarina,,https://instagram.com/s89_gagarina,,https://facebook.com/s89official,,https://wa.me/77056505852,,,,,,,43.210551,76.898602,https://2gis.com/firm/70000001074648091,branch
Power Gym,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"проспект Гагарина, 236Б",3 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00,+05:00,4.2,231,87081720035,,,,http://taplink.cc/powergymalmaty,http://jivo.chat/3mXenJvQkK,https://instagram.com/power_gym_almaty,,,,https://wa.me/77052772943,https://wa.me/77081720035,,,,,,43.213189,76.898269,https://2gis.com/firm/70000001028908457,branch
Shа́la Pilates Studio,фитнес-студия,Фитнес-клубы,"улица Радостовца, 323а",цокольный этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-15:00,+05:00,4.4,18,87711408820,,,,,,https://instagram.com/shala.pilates.studio,,,,https://wa.me/77711408820,,,,,,,43.209162,76.895834,https://2gis.com/firm/70000001074760269,branch
beBest,фитнес-клуб,Фитнес-клубы; Спортивные секции,"улица Навои, 62а/1",1 зал; цокольный этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-20:00 (по предварительной записи),+05:00,4.7,21,87789058784,87785566641,,,,,https://instagram.com/bebest.kz,,,,https://wa.me/77789058784,https://wa.me/77785566641,,,,,,43.215954,76.882804,https://2gis.com/firm/70000001041198411,branch
Stretching therapy by Dr.Lee,оздоровительный центр ,Фитнес-клубы,"микрорайон Орбита 1, 20",1 этаж,050043,Орбита-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00,+05:00,5.0,14,87054001031,,,,,,https://instagram.com/stretching.therapy.almaty,,,,https://wa.me/77054001031,,,,,,,43.19888,76.881422,https://2gis.com/firm/70000001087559301,branch
LegenDa,тренажерный зал,Фитнес-клубы; Тренажёрные залы; Велнес-залы,"улица Торайгырова, 39",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:30-23:00; Вт: 06:30-23:00; Ср: 06:30-23:00; Чт: 06:30-23:00; Пт: 06:30-23:00; Сб: 08:00-22:00,+05:00,4.2,36,87711289162,,,,,,https://instagram.com/legendgym.kz,,,,https://wa.me/77711289162,,,,,,,43.201502,76.870239,https://2gis.com/firm/70000001078537616,branch
BeFitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Рыскулбекова, 39а",цокольный этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.6,61,87075400016,,,,,,https://instagram.com/befitnesskz,,,https://vk.com/befitnesskz,https://wa.me/77075400016,,,,,,,43.205475,76.871236,https://2gis.com/firm/70000001029888433,branch
Vavilon Family Sport Club,спортивный клуб,Фитнес-клубы; Обучение танцам; Спортивные секции,"улица Розыбакиева, 247 блок 5",15 кабинет; -2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 09:00-15:00,+05:00,4.3,32,87472757017,87272211614,87082430626,,,,https://instagram.com/vavilon_familysport,,,,https://wa.me/77472757017,,,,,,,43.203968,76.892638,https://2gis.com/firm/70000001034403473,branch
Balance,студия стретчинга и йоги,Фитнес-клубы; Центры йоги; Обучение танцам,"улица Ходжанова, 2/2",2 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 10:00-15:00,+05:00,4.8,316,87475150904,,,,http://blnc.space,,https://instagram.com/balance.space,,,,https://wa.me/77475150904,,,,https://t.me/balance_helpbot,,,43.210343,76.908023,https://2gis.com/firm/70000001060617240,branch
Rakhat Fitness,спортивный клуб,Фитнес-клубы; Тренажёрные залы; Бассейны; Обучение танцам; Аквааэробика,"проспект Абая, 48",1 этаж,050022,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.2,190,87272555888 (многоканальный),,,,http://rakhat-fitness.kz,,https://instagram.com/rakhatfitness,,https://facebook.com/rakhatfitness,,https://wa.me/77474664398,,,,,,https://youtube.com/channel/UC-bRLNrY5Dh0lyb0Sti3rqA,43.240235,76.922142,https://2gis.com/firm/9429940000896000,branch
100% Fitness Gym,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Кожамкулова, 136",цокольный этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 09:00-21:00,+05:00,4.2,182,87774702979,,,,,,https://instagram.com/100_fitness_gym,,,,https://wa.me/77774702979,,,,,,,43.254168,76.917245,https://2gis.com/firm/70000001039029649,branch
QaharManFit,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции; Обучение танцам,"площадь Республики, 15",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 08:00-22:00,+05:00,4.2,140,87018042211,,,,http://www.qaharmanfit.kz,,https://instagram.com/qaharman.fitness,,,,https://wa.me/77018042211,,,,,,,43.23864,76.942399,https://2gis.com/firm/70000001038640677,branch
Invictus Fitness,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Центры йоги; Спортивные секции; Массажист,"микрорайон Самал-1, 9а",цокольный этаж,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-22:00; Вс: 09:00-22:00,+05:00,4.3,346,87273392323,,,,http://invictusfitness.kz/samal,,https://instagram.com/invictusfitness.kz,,https://facebook.com/invictusalmaty,,https://wa.me/77470940084,,,,,,https://youtube.com/channel/UCG8ai94ZaiPOBNd9oG_7h7g,43.234604,76.955702,https://2gis.com/firm/70000001029730840,branch
Hero’s Journey,студия геймифицированного фитнеса ,Фитнес-клубы; Тренажёрные залы,"улица Уалиханова, 170/1",сзади торгового центра Colibri,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+05:00,4.2,31,87172640841,,,,http://herosjourney.kz/almaty,http://tiktok.com/@herosjourney.kz,https://instagram.com/herosjourneykz,,,,https://wa.me/77777472852,,,,,,https://youtube.com/channel/UCA-w5dCEMjjvj6PszvuDzAA,43.240385,76.955183,https://2gis.com/firm/70000001085349944,branch
Adrenaline,фитнес-центр,Фитнес-клубы; Тренажёрные залы; Обучение танцам; Спортивное питание,"бульвар Бухар жырау, 66",2 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 06:00-23:00; Вт: 06:00-23:00; Ср: 06:00-23:00; Чт: 06:00-23:00; Пт: 06:00-23:00; Сб: 07:00-22:00; Вс: 09:00-21:00,+05:00,4.4,245,87714473737 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),87273132625 (единая справочная: пн-пт 6:00-23:00; сб 7:00-22:00; вс 9:00-21:00),,sales@adrenaline.kz,http://www.adrenaline.kz,,https://instagram.com/adrenaline_kz,,https://facebook.com/Adrenaline-Kz-529339027243967,,https://wa.me/77714473737,,,,,,https://youtube.com/UC0A-skQmAzJUO509Vt3cl1A,43.230662,76.9055,https://2gis.com/firm/9429940001587452,branch
Elastic Stretch Studio,студия растяжки и фитнеса,Фитнес-клубы; Спортивные секции; Центры йоги,"улица Наурызбай батыра, 127 блок 1",,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+05:00,4.1,52,87009738057,,,,http://clck.ru/39zF8k,,https://instagram.com/elastic.stretch,,,,https://wa.me/77009738057,,,,https://t.me/+77009738057,,,43.237035,76.93824,https://2gis.com/firm/70000001079203650,branch
Viva Pilates,фитнес-клуб,Фитнес-клубы,"улица Ауэзова, 60",1В помещение; 3 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 07:30-13:30, 14:00-21:00; Вт: 07:30-13:30, 14:00-21:00; Ср: 07:30-13:30, 14:00-21:00; Чт: 07:30-13:30, 14:00-21:00; Пт: 07:30-13:30, 14:00-21:00; Сб: 07:30-14:30, 15:00-17:00; Вс: 07:30-14:30, 15:00-17:00",+05:00,4.6,24,87073592626,87773592626,,,http://vivapilatesalmaty.taplink.ws,,https://instagram.com/viva_pilates_almaty,,,,https://wa.me/77073592626,https://wa.me/77773592626,,,,,,43.245294,76.903877,https://2gis.com/firm/70000001080760777,branch
Ankara,СПА-центр,Фитнес-клубы; SPA-процедуры; Бани / Сауны; Массажист; Бассейны,"улица Желтоксан, 181",цокольный этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 07:00-22:30; Вт: 07:00-22:30; Ср: 07:00-22:30; Чт: 07:00-22:30; Пт: 07:00-22:30; Сб: 07:00-22:30; Вс: 07:00-22:30,+05:00,4.4,31,87073900099,,,,,,https://instagram.com/ankaraspa_almaty,,,,https://wa.me/77073900099,,,,,,,43.235869,76.940641,https://2gis.com/firm/70000001050080198,branch
Argo,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивное питание,"улица Карасай батыра, 152/1",2 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:30; Вт: 07:00-23:30; Ср: 07:00-23:30; Чт: 07:00-23:30; Пт: 07:00-23:30; Сб: 08:00-22:00; Вс: 11:00-20:00,+05:00,4.3,75,87007188870,87772410080,,,,,https://instagram.com/fitnessclub_argo_almaty,,,,https://wa.me/77772410080,https://wa.me/77007188870,,,,,,43.24818,76.906185,https://2gis.com/firm/9429940001644283,branch
