Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
Talim school,частная школа,Школы,"улица Саттилик, 10",,,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,5.0,36,87077850404,,,talim_school@mail.ru,,http://talim-school.kz,https://instagram.com/talim_school.kz,,,,https://wa.me/77077850404,,,,,,,43.202047,76.788298,https://2gis.com/firm/70000001077019044,branch
ҮРКЕР мектебі,частная казахская школа,Школы; Спортивные секции; Обучение танцам; Курсы творчества и рукоделия для взрослых; Детские / подростковые клубы,"улица Тулебаева, 4а",,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.3,28,87022430173,,,urkermektebi@gmail.com,,http://edu-kz.com/mektep/bastauysh-mektep/urker,https://instagram.com/urkermektebi,,https://facebook.com/urkermektebi,,https://wa.me/77022430173,,,,https://t.me/702-243-01-73,,,43.269401,76.946637,https://2gis.com/firm/70000001045126923,branch
Global Education,частная школа,Школы,"улица Жамакаева, 258/16",,050044,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-14:00; Вт: 09:00-14:00; Ср: 09:00-14:00; Чт: 09:00-14:00; Пт: 09:00-14:00,+05:00,4.9,41,87026786072,87273117045,87017999838,globaleducation_kz@mail.ru,,http://70000001030211714.2gis.biz,https://instagram.com/global_education.kz,,,,https://wa.me/77017999838,,,,,,,43.209419,76.944847,https://2gis.com/firm/70000001030211715,branch
Wunder academy,частная общеобразовательная школа,Школы; Детские / подростковые клубы; Центры раннего развития детей; Детские лагеря,"улица Кыз Жибек, 77",1-3 этаж,050020,Кок-Тобе 2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.1,30,87084809988,,,,,http://wunderacademy.kz/?&utm_source=2gis,https://instagram.com/wunderacademy.kz,,https://facebook.com/wunderacademy.kz,,https://wa.me/77084809988,,,,https://t.me/+77084809988,,,43.218043,76.97258,https://2gis.com/firm/70000001054446544,branch
Өркен мектебі,частная школа,Школы,"микрорайон Мамыр 1, 21/3",,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.6,75,87086889162,,,info.orken.mektebi@gmail.com,,,https://instagram.com/orken.mektebi,,,,https://wa.me/77086889162,,,,,,,43.211074,76.847597,https://2gis.com/firm/70000001054709337,branch
NGS,школа нового поколения,Школы,"улица Жангир хана, 4",,,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,3.4,90,87087045544,,,office@ngs-school.net,,http://Ngs-school.kz,https://instagram.com/ngs_almaty,,https://facebook.com/NGSalmaty,,,,,,,,,43.19107,76.92126,https://2gis.com/firm/70000001029881109,branch
ASPM,физико-математическая школа,Школы,"улица Манаса, 34",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.5,31,87770106014,,,aspmalmaty@gmail.com,,http://aspm.kz,https://instagram.com/aspm_school,,,,https://wa.me/77770106014,,,,,,,43.234507,76.909858,https://2gis.com/firm/70000001062456078,branch
FasTracKids,образовательный центр,Школы; Частные детские сады; Дневные детские лагеря,"микрорайон Нуркент, 7",А блок; 1 этаж,050038,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:30; Вт: 08:00-17:30; Ср: 08:00-17:30; Чт: 08:00-17:30; Пт: 08:00-17:30,+05:00,4.4,71,87064298040,87072562219,87053334412,,,,https://instagram.com/fastrackids_arena,,,,https://wa.me/77064298040,https://wa.me/77053334412,,,,,,43.26427,76.818089,https://2gis.com/firm/70000001033205605,branch
Vector,частная школа,Школы; Начальные школы-детские сады / Прогимназии; Дневные детские лагеря,"улица Исаева, 2",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,5.0,63,87019823638,,,privateschool.vector@gmail.com,,,https://instagram.com/vector__school,,https://facebook.com/profile.php?id=100084535351607,,https://wa.me/77077777502,,,,,,,43.197122,76.862903,https://2gis.com/firm/70000001061072717,branch
JOS,финансовый лицей,Школы,"проспект Сейфуллина, 50",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,"Пн: 08:30-13:00, 14:00-17:00; Вт: 08:30-13:00, 14:00-17:00; Ср: 08:30-13:00, 14:00-17:00; Чт: 08:30-13:00, 14:00-17:00; Пт: 08:30-13:00, 14:00-17:00",+05:00,4.7,69,87714441251,,,,,,https://instagram.com/jos_school_almaty,,,,,,,,,,,43.323992,76.940539,https://2gis.com/firm/70000001054713044,branch
Apple Tree International School,английская международная школа-детский сад,Школы; Частные детские сады; Начальные школы-детские сады / Прогимназии,"улица Зеина Шашкина, 3",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:45; Вт: 08:00-16:45; Ср: 08:00-16:45; Чт: 08:00-16:45; Пт: 08:00-16:45,+05:00,4.3,7,87015129854,,,info@appletreeschool.kz,,,https://instagram.com/atis_almaty,,https://facebook.com/appletree.almaty,,https://wa.me/77015129854,,,,,,,43.224661,76.928836,https://2gis.com/firm/9429940000802173,branch
NGS High School,,Школы,"улица Кольсай, 27",,,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00,+05:00,4.3,8,87272250505 (приемная),87087045544 (приемная комиссия),,,,,https://instagram.com/ngs_highschool,,,,,,,,,,,43.192614,76.92008,https://2gis.com/firm/70000001082662772,branch
Abai International School,частная школа,Школы,"улица Камбар батыра, 30/4",,,Курамыс м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,4.8,53,87000999378,,,,,http://70000001075179412.2gis.biz,https://instagram.com/abai_international_school,,,,https://wa.me/77000999378,,,,,,,43.183651,76.84442,https://2gis.com/firm/70000001075179413,branch
Pifagor high school ,частная школа,Школы; Помощь в обучении; Языковые школы,"улица Жандосова, 61а",,050036,9-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,17,87787693030,,,info@pifagorschool.kz,,http://pifagor.kz,https://instagram.com/pifagorschool.kz,,https://facebook.com/pifagor.kz,https://vk.com/pifagorkz,https://wa.me/77066384727,https://wa.me/77068048284,,,https://t.me/pifagorkz,https://youtube.com/c/Pifagorkzvideos,,43.212919,76.868479,https://2gis.com/firm/70000001089067412,branch
Общеобразовательная школа №127,,Школы,"улица Токтабаева, 64",,050042,Таугуль м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:00-20:30; Вт: 07:00-20:30; Ср: 07:00-20:30; Чт: 07:00-20:30; Пт: 07:00-20:30,+05:00,3.8,72,87272495573,87272334765,,,,http://127.alschool.kz/,,,,,,,,,,https://youtube.com/@127schoolalmaty5,,43.210327,76.874619,https://2gis.com/firm/9429940000798769,branch
Байтерек,частная школа,Школы,"улица Торайгырова, 21/1",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.5,53,87077517162,87070011034,87076031072,,,http://baiterek.academy,https://instagram.com/baiterek.school,,https://facebook.com/isbaiterek,https://vk.com/isbaiterek,https://wa.me/77077517168,https://wa.me/77077517162,https://wa.me/77077517167,,,,,43.202882,76.872664,https://2gis.com/firm/70000001068030513,branch
Общеобразовательная школа №72,,Школы,"улица Сулейменова, 16",,050042,Таугуль-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-18:00",+05:00,2.9,44,87273023235 (единая справочная - пн-сб 8:30-18:00),,,,,,,,,,,,,,,,,43.214809,76.877788,https://2gis.com/firm/9429940000798827,branch
КAU,школа,Школы,"улица Торайгырова, 43",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 08:30-13:00, 14:00-17:30; Вт: 08:30-13:00, 14:00-17:30; Ср: 08:30-13:00, 14:00-17:30; Чт: 08:30-13:00, 14:00-17:30; Пт: 08:30-13:00, 14:00-17:30; Сб: 08:30-13:00, 14:00-17:30",+05:00,4.0,114,87272208128,87012072255,,,,http://school.kau.kz/ru/о-школе,https://instagram.com/kau.school,,,,https://wa.me/77012072255,,,,,https://youtube.com/@kauschool9648,,43.202238,76.870415,https://2gis.com/firm/9429940001142408,branch
Общеобразовательная школа №116,,Школы,"8-й микрорайон, 46",,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-18:00; Вт: 08:00-13:00, 14:00-18:00; Ср: 08:00-13:00, 14:00-18:00; Чт: 08:00-13:00, 14:00-18:00; Пт: 08:00-13:00, 14:00-18:00",+05:00,3.9,71,87272490791 (приемная),87272498494,,,,,https://instagram.com/school_116_almaty,,,,,,,,,,,43.225531,76.868788,https://2gis.com/firm/9429940000798763,branch
PhysTech school Almaty,частная школа,Школы,"улица Ладыгина, 35а",Вход с ул. Ладыгина,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,3.9,42,87081001010,87081011010,,,,,https://instagram.com/fiztex.kz,,,,,,,,,,,43.206291,76.870955,https://2gis.com/firm/70000001061724938,branch
Tamos Education,математическая школа,Школы; Помощь в обучении,"улица Абиша Кекилбайулы, 129/4",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-17:00,+05:00,3.1,46,87470949596,,,,,http://tamos-education.kz,https://instagram.com/tamos_education,,https://facebook.com/TamosEducation,,https://wa.me/77002461980,,,,,,,43.209368,76.887247,https://2gis.com/firm/9429940000800917,branch
Школа КАЗГАСА,,Школы,"улица Торайгырова, 23",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:30-16:30; Вт: 08:30-16:30; Ср: 08:30-16:30; Чт: 08:30-16:30; Пт: 08:30-16:30,+05:00,4.1,58,87079752323 (администрация: пн-вс 9:00-16:30),,,,,http://school.kazgasa.kz,https://instagram.com/kazgasa_school,,,,https://wa.me/77079752323,,,,,,,43.202626,76.872218,https://2gis.com/firm/70000001033478681,branch
Bilimkana-Almaty School,частная школа,Школы,"10-й микрорайон, 7Б",1 этаж,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.2,34,87478237730,,,,,http://bilimkana.kz,https://instagram.com/bilimkana_almaty,,https://facebook.com/bilimkanaalmaty,,,,,,,,,43.218123,76.870479,https://2gis.com/firm/70000001032654912,branch
Jiger,частная физико-математическая школа,Школы,"улица Рыскулбекова, 39а","1, 2 этаж",050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.6,33,87478046447,,,,,,https://instagram.com/jiger_school,,,,https://wa.me/77478046447,,,,,,,43.205252,76.871165,https://2gis.com/firm/70000001063289438,branch
Школа-гимназия №202,,Школы,"микрорайон Мамыр 5, 6",,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.3,91,87272367611,,,,,,https://instagram.com/202_mektep.gimnaziya,,,,,,,,,,,43.213555,76.847816,https://2gis.com/firm/70000001045112451,branch
Общеобразовательная школа №37,,Школы,"улица Рыскулбекова, 20",,050042,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.6,23,87272276899 (единая справочная - пн-пт 8:30-18:00; сб 8:30-15:00),,,,,,,,,,,,,,,,,43.206194,76.879629,https://2gis.com/firm/9429940000798805,branch
Общеобразовательная школа №63,,Школы,"улица Абиша Кекилбайулы, 88",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00,+05:00,4.1,35,87273765920 (приемная),,,,,,https://instagram.com/school_63almaty,,,,,,,,,,,43.216659,76.88833,https://2gis.com/firm/9429940000798820,branch
Школа-лицей №119,,Школы,"8-й микрорайон, 45",,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-14:00,+05:00,3.2,62,87272498496,87272490577 (приемная),,,,http://119.alschool.kz,,,,,,,,,,,,43.227131,76.868482,https://2gis.com/firm/9429940000798765,branch
Dostyq School,частная школа,Школы; Помощь в обучении,"4-й микрорайон, 11",1-3 этаж,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,3.8,103,87051333045,87770438986,,,,http://tiktok.com/@dostyqbilim.kz,https://instagram.com/dostyq.altynsarin,,,,https://wa.me/77073446060,,,,,https://youtube.com/c/DostyqBilim,,43.227116,76.85773,https://2gis.com/firm/9429940001626510,branch
Galaxy,международная школа,Школы,"4-й микрорайон, 9",,050062,4-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 08:30-12:30, 14:00-17:00; Вт: 08:00-12:30, 14:00-17:00; Ср: 08:00-12:30, 14:00-17:00; Чт: 08:00-12:30, 14:00-17:00; Пт: 08:00-12:30, 14:00-17:00",+05:00,3.6,59,87022030020 (по вопросам поступления),87272437797 (ресепшн),,,,http://www.galaxy.edu.kz,https://instagram.com/galaxyis.kz,,https://facebook.com/galaxyis.kz,,https://wa.me/77022030020,,,,https://t.me/almatygalaxyis,https://youtube.com/channel/UChuP0UlsxvIleL5gBQFQpkQ,,43.22681,76.857982,https://2gis.com/firm/70000001022382759,branch
Общеобразовательная школа №45,,Школы,"микрорайон Орбита-3, 55",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-15:00,+05:00,3.7,85,87272499044 (приемная),87272547333,,,,,,,,,,,,,,,,43.199213,76.876359,https://2gis.com/firm/9429940000798809,branch
Общеобразовательная школа №145 им. Аль-Фараби,,Школы,"микрорайон Орбита-3, 5г",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00,+05:00,3.1,26,,,,,,,,,,,,,,,,,,43.199821,76.878001,https://2gis.com/firm/9429940000798780,branch
Bilimkana-Almaty School,частная школа,Школы,"улица Жандосова, 55/5",,050035,10 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,5.0,1,87478237730,,,,,,,,,,,,,,,,,43.215809,76.869753,https://2gis.com/firm/70000001082944100,branch
125 High School,,Школы,"микрорайон 1-й, 50/2",1 этаж,050062,1-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,3.8,93,87080125125,,,,,http://125highschoolalmaty.2gis.biz,https://instagram.com/125highschool.almaty,,https://facebook.com/125highschool.almaty,,,,,,,,,43.230197,76.853707,https://2gis.com/firm/70000001054738929,branch
Общеобразовательная школа №117,,Школы,"микрорайон Жетысу-2, 8Б",,050063,Жетысу-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 09:00-18:00,+05:00,3.3,97,87272424555,,,,,,,,,,,,,,,,,43.22317,76.842698,https://2gis.com/firm/9429940000798764,branch
Общеобразовательная школа №40,,Школы,"микрорайон Орбита-3, 55а",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-15:00,+05:00,4.0,35,87272546219,87272546231,87272546290,,,,,,,,,,,,,,,43.198142,76.87677,https://2gis.com/firm/9429940000798806,branch
Мирас,международная школа,Школы,"проспект Аль-Фараби, 190",,050043,Мирас м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,3.5,36,87272421665,87711040080,87005852040,,,http://www.miras.kz,https://instagram.com/miras.school.almaty,,https://facebook.com/mirasschoolalmaty,,https://wa.me/77005852040,https://wa.me/77711040080,,,,,,43.19361,76.879087,https://2gis.com/firm/9429940000798134,branch
The insight school,частная общеобразовательная школа,Школы,"улица Жандосова, 61а",1 этаж,050036,9-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,4.9,1,87023386261,87476298542,,,,,https://instagram.com/the.insightschool,,,,,,,,,,,43.212919,76.868479,https://2gis.com/firm/70000001081281016,branch
Элко,частная школа-детский сад,Школы; Частные детские сады,"микрорайон Орбита-3, 8а",,050043,Орбита-3 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.2,81,87272499099,87272425321,87017991039,,,http://www.elko1.kz,https://instagram.com/elko.sadik,,,,https://wa.me/77474151801,,,,,,,43.200831,76.87609,https://2gis.com/firm/9429940000802588,branch
A-school ,частная школа,Школы,"улица Рыскулбекова, 39а",,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.0,4,87078068888,,,,,http://aschool.com.kz/,,,,,,,,,,,,43.205252,76.871165,https://2gis.com/firm/70000001082695440,branch
Parasat Almaty,частная школа,Школы,"микрорайон 3-й, 9а",3 этаж,050062,3-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.5,23,87479000782,,,,,http://parasat-school.kz,https://instagram.com/parasat.almaty,,,,https://wa.me/77479000782,,,,,,,43.224424,76.849708,https://2gis.com/firm/70000001034689107,branch
Общеобразовательная школа №122,,Школы,"микрорайон 3-й, 52",,050062,3-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.3,64,87272767606,,,,,http://122.alschool.kz/,https://instagram.com/122_mektep_,,https://facebook.com/m.facebook.com/100029811301540,,,,,,,,,43.226179,76.851701,https://2gis.com/firm/9429940000802341,branch
Sunbridge,частная школа,Школы,"8-й микрорайон, 23а",,050006,8 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.8,22,87076757555,87076762626,,,,http://sunbridge.kz/,https://instagram.com/sunbridge.schoolkz,,,,https://wa.me/77076757555,,,,https://t.me/+77076757555,,,43.227158,76.870946,https://2gis.com/firm/70000001089619371,branch
