Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Telegram,Широта,Долгота,2GIS URL,Тип
Студия 2.0,коворкинг-центр,Коворкинг; Конференц-залы / Переговорные комнаты,"улица Мауленова, 129",цокольный этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительному звонку),+05:00,4.7,37,87074097707,,,,,,,https://instagram.com/studia2.0,https://facebook.com/Studia2.0,,https://wa.me/77074097707,,,,43.243194,76.93504,https://2gis.com/firm/70000001029177150,branch
Галерея 2.0,коворкинг-центр,Коворкинг,"улица Бальзака, 2",цокольный этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00,+05:00,4.1,20,87071120018 (бронирование через WhatsApp),,,,,,,https://instagram.com/gallery__2.0,,,https://wa.me/77071120018,,,,43.226937,76.931928,https://2gis.com/firm/70000001055680084,branch
City Hub,коворкинг-центр,Коворкинг; Конференц-залы / Переговорные комнаты,"улица Толе би, 55",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,97,87085070057,,,,,http://hipolink.me/city_hub_almaty,,https://instagram.com/cityhub_kz,https://facebook.com/CityHubAlmaty,,https://wa.me/77085070057,,,,43.255243,76.945935,https://2gis.com/firm/70000001051843931,branch
Regus Kazakhstan,компания по аренде сервисных офисов,Коворкинг; Аренда помещений; Конференц-залы / Переговорные комнаты,"улица Тимирязева, 26",7 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,4.1,13,87273574351,,,,,http://regus.com.kz,,https://instagram.com/regus.kz,,,https://wa.me/77752673333,,,,43.23036,76.933567,https://2gis.com/firm/70000001035209816,branch
GRV Dostyk,бизнес-центр,Коворкинг; Бизнес-центры,"улица Толе би, 23а",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,15,87775051260,,,,,http://www.grvdostyk.com,,,,,https://wa.me/77775051260,,,https://t.me/grvdostyk,43.256256,76.956298,https://2gis.com/firm/70000001054094086,branch
Zen Studio,коворкинг-центр,Коворкинг,"улица Курмангазы, 111",305а кабинет; 3 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,5.0,1,87073910808,,,,,,,https://instagram.com/zenstudio.kz,,,https://wa.me/77073910808,,,https://t.me/zen_studio_bot,43.243544,76.926618,https://2gis.com/firm/70000001089657080,branch
The office coworking,​коворкинг-центр,Коворкинг; Конференц-залы / Переговорные комнаты,"проспект Аль-Фараби, 5/2",Р2 этаж,050059,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,3,87006323232,,,,,,,https://instagram.com/theoffice.coworking,,,https://wa.me/77006323232,,,,43.229529,76.946111,https://2gis.com/firm/70000001082782049,branch
Комьюнити-центр Медеуского района,,Коворкинг; Курсы вокала; Языковые школы; Помощь в обучении; Кадровые агентства,"проспект Назарбаева, 36",,050016,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,35,87471443024,,,,,,,https://instagram.com/community.medeu,,,https://wa.me/77471443024,,,https://t.me/+77471443024,43.268794,76.945312,https://2gis.com/firm/70000001083816543,branch
Talents` Space,коворкинг-центр,Коворкинг,"улица Манаса, 9Б",2 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи),+05:00,4.1,42,87075170017,,,,,,,https://instagram.com/talents.space.almaty,,,https://wa.me/77075170017,,,,43.24207,76.907752,https://2gis.com/firm/70000001046984026,branch
Zen Studio,коворкинг-центр,Коворкинг,"улица Гоголя, 86","319, 522 офис; 3, 5 этаж",050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00 (по предварительной записи),+05:00,5.0,14,87073910808,,,,,http://squares.kz/id/2450,,https://instagram.com/zenstudio.kz,,,https://wa.me/77073910808,,,https://t.me/zen_studio_bot,43.259105,76.936815,https://2gis.com/firm/70000001081186139,branch
16Line coworking,коворкинг-центр,Коворкинг; Конференц-залы / Переговорные комнаты,"улица Мынбаева, 53а",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.8,40,87714200016,,,,,,,https://instagram.com/16line_coworking,https://facebook.com/line.coworking.7,,https://wa.me/77714200016,,,,43.238175,76.902249,https://2gis.com/firm/70000001052383791,branch
Алуал,коворкинг центр,Коворкинг; Общественные организации,"улица Каныша Сатпаева, 30/8",139 офис; 1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87273989525,,,,,,,,,,,,,,43.234217,76.921215,https://2gis.com/firm/70000001079596855,branch
Level 8,компания,Коворкинг; Аренда помещений; Конференц-залы / Переговорные комнаты,"проспект Аль-Фараби, 77/7",17а помещение; 8 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,1.6,7,87273550808,,,,,http://level8.kz,,https://instagram.com/level8esentai,,,,,,,43.219129,76.9292,https://2gis.com/firm/70000001039072447,branch
Capital Co-Working,,Коворкинг; Конференц-залы / Переговорные комнаты,"улица Абиша Кекилбайулы, 34",4 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,3.9,14,87773105777,,,,,,,https://instagram.com/capital_coworking,,,https://wa.me/77773105777,,,,43.205078,76.890841,https://2gis.com/firm/70000001063472165,branch
На Алматинке,коворкинг-центр,Коворкинг,"улица Навои, 70",,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+05:00,4.6,14,87013555650,87770645171,,,,,,https://instagram.com/coworking_na_almatinke,,,https://wa.me/77770645171,https://wa.me/77013555650,,,43.216892,76.883862,https://2gis.com/firm/70000001068059140,branch
Теперь,коворкинг-центр,Коворкинг,"улица Желтоксан, 169",2 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,2,87018829636,87073657505,,,,,,https://instagram.com/coworking_teper_ala,,,https://wa.me/77018829636,,,,43.242485,76.940747,https://2gis.com/firm/70000001089657608,branch
Coworking Square,коворкинг-центр,Коворкинг,"проспект Аль-Фараби, 120/62",1 этаж,050044,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,5.0,3,87027601577,,,,,,,https://instagram.com/coworkingsquare_,,,https://wa.me/77027601577,,,,43.216826,76.929442,https://2gis.com/firm/70000001078227405,branch
Human Capital,,Коворкинг,"улица Жарокова, 230",76 офис,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+05:00,5.0,27,87012238785,,,,,http://humancapital.kz,,https://instagram.com/humancapitalkz,https://facebook.com/humancapitalkz,,https://wa.me/77012238785,,,https://t.me/+77012238785,43.215893,76.902916,https://2gis.com/firm/70000001078823797,branch
Coworkinglife.kz,,Коворкинг; Конференц-залы / Переговорные комнаты,"проспект Сейфуллина, 498",25 офис; 8 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.7,21,87073150101,,,,,http://coworkinglife.kz/,,https://instagram.com/coworkinglife.kz,,,https://wa.me/77073150101,,,,43.251594,76.933833,https://2gis.com/firm/70000001065107473,branch
Codeq Coworking,,Коворкинг,"улица Рыскулбекова, 28/2",цокольный этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00,+05:00,5.0,5,87007204919,87076353831,,,,,,https://instagram.com/codeq.coworking,,,https://wa.me/77007204919,https://wa.me/77076353831,,,43.203311,76.872473,https://2gis.com/firm/70000001077169946,branch
WorkSpace 727,коворкинг-центр,Коворкинг; Конференц-залы / Переговорные комнаты; Копировальные услуги; Аренда помещений,"Мамыр-4 микрорайон, 49",1 этаж,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,4.6,154,87477273030,,,,,,,https://instagram.com/coworking727,,,https://wa.me/77477273030,,,https://t.me/coworking727,43.216671,76.847459,https://2gis.com/firm/70000001042615977,branch
Энергия Счастья,коворкинг-центр,Коворкинг,"проспект Абая, 130",1 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,,,87029999060,,,,,,,,,,https://wa.me/77029999060,,,,43.237017,76.888468,https://2gis.com/firm/70000001083031896,branch
We Work Plus,коворкинг-центр ,Коворкинг; Конференц-залы / Переговорные комнаты; Организация бизнес-мероприятий,"проспект Аль-Фараби, 116/21",,050044,,Медеуский район,Алматы,,Алматы,Казахстан,,+05:00,,,87088317166,,,,,,,https://instagram.com/wework.plus,,,https://wa.me/77088317166,,,,43.213892,76.940283,https://2gis.com/firm/70000001086780961,branch
Kense Online,,Коворкинг; Юридические услуги; Бухгалтерские услуги,"улица Рыскулбекова, 39а",200 офис; 2 этаж,050042,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00,+05:00,,,87017581975,,,,,http://kense-online.kz,,,,,https://wa.me/77017581975,,,https://t.me/+77017581975,43.205252,76.871165,https://2gis.com/firm/70000001066529401,branch
Smart orta,​коворкинг-центр,Коворкинг,"микрорайон Самал-2, 66а",2 этаж,050059,Самал-2 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,5.0,7,87772787204,87017798088,87066780416,,,,,https://instagram.com/smart.orta,,,https://wa.me/77772787204,https://wa.me/77017798088,https://wa.me/77066780416,,43.23142,76.952891,https://2gis.com/firm/70000001080398154,branch
Комьюнити-центр Алатауского района,,Коворкинг; Конференц-залы / Переговорные комнаты; Помощь в обучении; Личностные тренинги; Бизнес-тренинги,"микрорайон Саялы, 73",,050047,Саялы м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.8,21,87000660098,,,,,http://www.jasalmaty.kz,,https://instagram.com/community_alatau,https://facebook.com/community_alatau,,https://wa.me/77000660098,,,,43.303597,76.839584,https://2gis.com/firm/70000001083816969,branch
Travel Code,,Коворкинг,"улица Абиша Кекилбайулы, 34",4 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,,,87057276881,,,,,http://travel-code.com/,,https://instagram.com/travelcode.kz,,,https://wa.me/77057276881,,,,43.205078,76.890841,https://2gis.com/firm/70000001081878269,branch
Ng Coworking ,,Коворкинг,"улица Варламова, 1/3 блок А",,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 09:00-21:00,+05:00,4.5,4,87022796209,,,,,,,https://instagram.com/ngcoworking.kz,,,https://wa.me/77022796209,,,https://t.me/+77022796209,43.245783,76.869815,https://2gis.com/firm/70000001081573719,branch
Coworking Vkleyka,коворкинг-центр,Коворкинг,"улица Саяна Шаймерденова, 12",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+05:00,4.8,6,87019907510,,,,,,,https://instagram.com/vkleyka.coworking,,,https://wa.me/77019907510,,,,43.2012,76.853137,https://2gis.com/firm/70000001088227700,branch
Mono,коворкинг-центр,Коворкинг,"микрорайон Аксай 1А, 28Б",рядом с салоном красоты Sunray,050031,Аксай-1а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.9,9,,,,,,,,https://instagram.com/mono.anticafe,,,,,,,43.240165,76.825336,https://2gis.com/firm/70000001066452858,branch
Студия #5,бьюти-студия для мастеров красоты,Коворкинг,"улица Сауранбаева, 5",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,9,,,,,,,,https://instagram.com/beauty_studiya5,,,,,,,43.206209,76.857723,https://2gis.com/firm/70000001074884873,branch
Tarelochka,,Коворкинг,"проспект Райымбека, 467а",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 17:00-20:00; Вт: 17:00-20:00; Ср: 17:00-20:00; Чт: 17:00-20:00; Пт: 17:00-20:00,+05:00,,,,,,,,,,,,,,,,,43.249357,76.844988,https://2gis.com/firm/70000001079108011,branch
Timeroom,антикафе и коворкинг центр,Коворкинг; Антикафе,"улица Асыл Арман, 19",цокольный этаж,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.1,12,87024287421,,,,,,,https://instagram.com/timeroom.anticafe,,,https://wa.me/77024287421,,,,43.231451,76.749542,https://2gis.com/firm/70000001078802209,branch
Rocks art lab,творческое пространство,Коворкинг; Курсы творчества и рукоделия для взрослых; Детские / подростковые клубы,"улица Тимирязева, 42 к16/1",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,4.1,12,87017410110,87773006284,,,,http://rocksartlab.2gis.biz,,https://instagram.com/rocks.art.lab,https://facebook.com/Rocksartlab.Production,,https://wa.me/77017410110,https://wa.me/77773006284,,https://t.me/rocksartlab,43.223492,76.910667,https://2gis.com/firm/70000001032364080,branch
My Beauty Coworking,салон красоты и коворкинг-центр,Коворкинг; Косметолог; Ногтевые студии; Парикмахерские; Массажист; Эпиляция; SPA-процедуры; Визажисты,"Самал-3 микрорайон, 1",3 этаж,050059,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.2,24,87011001718,,,,,,,https://instagram.com/my.beauty.coworking,,,https://wa.me/77011001718,,,https://t.me/mybeautycoworking,43.228033,76.959133,https://2gis.com/firm/70000001045613001,branch
