Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,Широта,Долгота,2GIS URL,Тип
Городская поликлиника №35,,Взрослые поликлиники; Детские поликлиники,"микрорайон Калкаман, 20/1",,050006,Калкаман м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00 (администрация: пн-пт 8:00-18:00, перерыв: 13:00-14:00; дежурный врач: сб 9:00-14:00)",+05:00,2.3,286,87272466125 (регистратура детской поликлиники),87273098332 (приемная),87272476031 (регистратура взрослой поликлиники),,,,,,,,43.232268,76.79809,https://2gis.com/firm/70000001028641406,branch
Городская поликлиника №18,,Взрослые поликлиники; Детские поликлиники,"улица Ыкылас, 1г",,050052,Таугуль м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00,+05:00,3.0,90,87272936829 (регистратура),87272936662 (регистратура),,http://gkkp18.kz,,https://instagram.com/emhana_18almaty,https://facebook.com/gp18almaty,,,,43.20467,76.848828,https://2gis.com/firm/9429940000932321,branch
Городская поликлиника №26,,Взрослые поликлиники,"улица Грозы, 102",,050067,Таусамалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-18:00,+05:00,3.3,389,87272970023 (приемная: пн-пт 8:00-17:00),87272970153 (регистратура: пн-пт 8:00-20:00),87272970535 (регистратура: пн-пт 8:00-20:00),http://gp26.kz,,,,,,,43.190122,76.832657,https://2gis.com/firm/9429940001269243,branch
Городская поликлиника №29,,Взрослые поликлиники; Детские поликлиники,"микрорайон Зердели, 371/3",,050038,Зерделі м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00; Вс: 08:00-16:00,+05:00,3.3,920,87074499692,,,http://gp29.kz,,,,,https://wa.me/77476401129,,43.281245,76.824874,https://2gis.com/firm/70000001020918852,branch
Городская поликлиника №14,,Взрослые поликлиники; Детские поликлиники,"улица Бенберина, 22",,050047,Айгерим-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00 (дежурный врач: сб 9:00-13:00),+05:00,3.8,337,87272976095 (приемная),87272976927 (регистратура),87272976794,http://gp14.kz,,,,,,,43.2746,76.843268,https://2gis.com/firm/70000001025940170,branch
Городская поликлиника №27,,Взрослые поликлиники,"улица Даулеткерея, 140",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00 (дежурный врач: сб 9:00-16:00),+05:00,2.6,133,87273720042 (регистратура),87273720017 (регистратура),87089712419 (служба поддержки пациентов),http://gp27.kz,,https://instagram.com/gp27_almatynauryzbai,,,https://wa.me/77089712419,,43.186306,76.806207,https://2gis.com/firm/70000001021829824,branch
Городская поликлиника №16,центр реабилитации и восстановительного лечения,Взрослые поликлиники; Детские поликлиники,"12-й микрорайон, 22/2",1 этаж,050035,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-15:40; Вт: 08:00-15:40; Ср: 08:00-15:40; Чт: 08:00-15:40; Пт: 08:00-15:40,+05:00,4.9,17,87272659622,87272220009,,http://www.gp16.kz,,https://instagram.com/almaty_gp16,https://facebook.com/GP16Almaty,,,,43.221135,76.866756,https://2gis.com/firm/70000001060588909,branch
Центр ПМСП Алмалинского района,,Взрослые поликлиники; Детские поликлиники,"улица Толе би, 157",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,3.1,229,87780037015 (регистратура),,,http://pmsp-almaly.kz,,,,,,,43.252745,76.910405,https://2gis.com/firm/9429940000794517,branch
Поликлиника №55,,Взрослые поликлиники; Детские поликлиники,"микрорайон Аксай 1А, 1",,050031,Аксай-1а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,2.6,77,87018795083,87018795000,,,,,,,,,43.23973,76.823598,https://2gis.com/firm/70000001060664942,branch
Городская поликлиника №17,реабилитационный кабинет,Взрослые поликлиники; Детские поликлиники,"проспект Гагарина, 165",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00,+05:00,3.8,25,87273910291 (горячая линия: пн-пт 8:00-20:00; сб 8:00-16:00),87273107517,,http://gp17.kz,,,,,,,43.219345,76.89694,https://2gis.com/firm/70000001033477113,branch
Городская поликлиника №3,платное отделение,Взрослые поликлиники; Терапевт; Офтальмолог; ЛОР (отоларинголог); Гинеколог; Гастроэнтеролог; Эндокринолог; Психолог; Уролог; Проктолог; Медицинская диагностика; Проведение хирургических операций,"улица Розыбакиева, 74",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00 (дежурный врач: сб 9:00-16:00),+05:00,5.0,1,,,,,,,,,,,43.243699,76.889835,https://2gis.com/firm/70000001089094205,branch
Городская поликлиника №8,платное отделение,Взрослые поликлиники; Логопед; Терапевт; Физиотерапевт; Хирург; Офтальмолог; Невролог; ЛОР (отоларинголог); Детские врачи,"улица Туркебаева, 40",,050009,Тастак-3 м-н,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,,,87273912831 (горячая линия: пн-пт 8:00-20:00; сб 9:00-14:00),87273741068,87273741069,http://gp8.kz,,https://instagram.com/polik8.almaty,,,,,43.252745,76.878803,https://2gis.com/firm/70000001089093683,branch
Городская поликлиника №15,платное отделение,Взрослые поликлиники; Невролог; Терапевт; Кардиолог; Эндокринолог; Травматолог-ортопед; Дерматолог; Офтальмолог; Хирург,"улица Жайдарман, 17 к В",,050063,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,3.0,2,87272208591 (контакт-центр),87272563925 (женская консультация ),,http://gp15.kz,,https://instagram.com/gp15_almaty,https://facebook.com/gp15Almaty,,https://wa.me/77089706237,,43.224649,76.82748,https://2gis.com/firm/70000001089053375,branch
Городская поликлиника №12,поликлиника,Взрослые поликлиники,"бульвар Бухар жырау, 47",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-14:00,+05:00,3.1,97,87273101212 (контакт-центр: пн-пт 8:00-20:00; сб 8:00-14:00),87472101212 (контакт-центр: пн-пт 8:00-20:00; сб 8:00-14:00 ),87273104812 (справочная: пн-пт 8:00-18:00; сб 8:00-14:00),,,,,,,,43.231729,76.913331,https://2gis.com/firm/70000001054773679,branch
Городская поликлиника №30,,Взрослые поликлиники; Детские поликлиники,"проспект Жибек Жолы, 128",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-14:00; Вс: 08:00-14:00,+05:00,2.6,273,87272794711 (приемная),87272793916 (регистратура),87272794780 (регистратура),,,,,,,,43.26089,76.933136,https://2gis.com/firm/9429940000829877,branch
Городская поликлиника ветеранов Отечественной войны,платное отделение,Взрослые поликлиники; Терапевт; Гинеколог; Офтальмолог; ЛОР (отоларинголог); Хирург; Физиотерапевт; Уролог; Эндокринолог; Онколог; Инфекционист; Маммолог,"улица Амангельды, 41",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-15:00,+05:00,2.6,34,87073104145,87273104541 (служба поддержки),,http://vov-policlinika.kz,,,,,,,43.254846,76.930522,https://2gis.com/firm/70000001089088649,branch
Центральная военная поликлиника МО РК,,Взрослые поликлиники,"улица Жарокова, 210",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,3.0,2,87272460648,,,,,,,,,,43.221461,76.902338,https://2gis.com/firm/70000001080364859,branch
Городская поликлиника №16,платное отделение,Взрослые поликлиники; Терапевт; Детские врачи; Хирург; ЛОР (отоларинголог); Гастроэнтеролог; Уролог,"12-й микрорайон, 19",,050036,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-15:00; Вс: 09:00-15:00,+05:00,,,87273032495 (служба поддержки пациента  ),87272220009,,http://www.gp16.kz,,https://instagram.com/almaty_gp16,https://facebook.com/GP16Almaty,,,,43.220329,76.865245,https://2gis.com/firm/70000001089087025,branch
Городская поликлиника №2,,Взрослые поликлиники; Детские поликлиники,"улица Шухова, 37Б",,050007,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 09:00-14:00,+05:00,2.0,350,87077541284 (служба поддержки пациентов),87273992343 (регистратура),,http://gp2.kz,,https://instagram.com/n2_emhana_almaty,https://facebook.com/policlinic2,,,,43.275687,76.982077,https://2gis.com/firm/9429940000794541,branch
Поликлиника,НИИ кардиологии и внутренних болезней,Взрослые поликлиники; Терапевт; Кардиолог; Нефролог,"улица Айтеке би, 120",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00 (по предварительной записи),+05:00,2.7,18,87272676834 (регистратура),87272330061,,,,,,,,,43.256724,76.92699,https://2gis.com/firm/9429940000799265,branch
Городская поликлиника №24,,Взрослые поликлиники; Детские поликлиники,"улица Земнухова, 3/1",,050028,Нижняя пятилетка м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00,+05:00,1.8,124,87780037044 (регистратура: пн-пт 8:00-17:00),87273122490 (регистратура: пн-пт 8:00-17:00),,http://gp24.kz,,,,,,,43.349317,76.9428,https://2gis.com/firm/9429940001256981,branch
Городская поликлиника №15,,Взрослые поликлиники; Детские поликлиники,"микрорайон Аксай 1А, 4",1 этаж,050031,Аксай-1а м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.4,131,87273979921,87272563925 (женская консультация ),,http://gp15.kz,,https://instagram.com/gp15_almaty,https://facebook.com/gp15Almaty,,https://wa.me/77089706237,,43.23915,76.824763,https://2gis.com/firm/70000001033208022,branch
Городская поликлиника №23,,Взрослые поликлиники; Детские поликлиники,"улица Жалайыр, 34",,050058,Улжан-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00 (дежурный врач: пн-пт 8:00-18:00; сб 9:00-14:00),+05:00,2.8,326,87273386714,87273386764,,http://www.gp23.kz,,https://instagram.com/gp.23kz,https://facebook.com/www.gp23.kz,,,,43.296133,76.870974,https://2gis.com/firm/9429940001278928,branch
Городская поликлиника №22,,Взрослые поликлиники; Детские поликлиники,"улица Жанкожа батыра, 193а",,050065,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 14:00-20:00; Вт: 08:00-13:00, 14:00-20:00; Ср: 08:00-13:00, 14:00-20:00; Чт: 08:00-13:00, 14:00-20:00; Пт: 08:00-13:00, 14:00-20:00; Сб: 08:00-13:00, 14:00-20:00 (дежурный врач: сб)",+05:00,1.9,205,87273808725 (регистратура: пн-пт 8:00-20:00; сб 9:00-16:00),87273187873 (горячая линия: пн-пт 8:00-20:00; сб 9:00-16:00),87273808707 (регистратура: пн-пт 8:00-20:00; сб 9:00-16:00 ),,,,,,,,43.304891,76.853148,https://2gis.com/firm/9429940001278924,branch
Городская поликлиника №11,,Взрослые поликлиники; Детские поликлиники,"микрорайон Айнабулак 3, 87",,050014,Айнабулак 3 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,3.4,422,87473108711,,,http://gp11.kz,,,,,,,43.320923,76.916141,https://2gis.com/firm/9429940000794528,branch
Городская поликлиника №27,платное отделение,Взрослые поликлиники; Невролог; Хирург; Эндокринолог; Дерматолог; ЛОР (отоларинголог),"улица Даулеткерея, 140",,050027,Акжар м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00 (дежурный врач: сб 9:00-16:00),+05:00,,,87273720042 (регистратура),87273720017 (регистратура),87089712419 (служба поддержки пациентов),http://gp27.kz,,https://instagram.com/gp27_almatynauryzbai,,,https://wa.me/77089712419,,43.186331,76.806263,https://2gis.com/firm/70000001089023073,branch
Городская поликлиника №14,платное отделение для взрослых,Взрослые поликлиники; Медицинская диагностика; Гинеколог,"улица Бенберина, 22",,050047,Айгерим-1 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-16:00 (дежурный врач: сб 9:00-13:00),+05:00,5.0,1,87273382232 (горячая линия: пн-пт 8:00-20:00; сб 9:00-13:00),,,http://gp14.kz,,,,,,,43.274658,76.843155,https://2gis.com/firm/70000001089093892,branch
Городская поликлиника №7,,Взрослые поликлиники; Детские поликлиники,"бульвар Бухар жырау, 14",,050021,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-14:00 (дежурный врач: сб 09:00-16:00),+05:00,3.6,35,87273100707,,,,,https://instagram.com/gp7_almaty,,,,,43.233431,76.925093,https://2gis.com/firm/70000001050913223,branch
Городская поликлиника №7,платное отделение,Взрослые поликлиники; Терапевт; Психотерапевт; Медицинские анализы; ЛОР (отоларинголог); Вакцинация; Ведение беременности; Гинеколог; Онколог; Медицинская диагностика; Хирург; Диетолог; Психиатр; Психолог; Проведение хирургических операций,"бульвар Бухар жырау, 14",,050021,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,,,87273100707 (регистратура),,,,,,,,,,43.233431,76.925093,https://2gis.com/firm/70000001089087286,branch
Центр ПМСП Алмалинского района,,Взрослые поликлиники; Детские поликлиники,"улица Ади Шарипова, 88",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.6,11,87780037045,,,http://pmsp-almaly.kz,,,,,,,43.247916,76.923207,https://2gis.com/firm/9429940001094761,branch
Городская поликлиника №19,,Взрослые поликлиники,"улица Папанина, 220",,050054,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-14:00,+05:00,2.5,189,87273101919 (call-центр),87272433737 (call-центр),87072201919 (call-центр),http://gp19.kz,,https://instagram.com/gorodskaiapoliklinika19,,,,,43.320062,76.963891,https://2gis.com/firm/9429940000794540,branch
Городская поликлиника №13,,Взрослые поликлиники,"проспект Сейфуллина, 97",,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-12:00,+05:00,2.3,177,87272232120,87075253087 (детское отделение ),87074950387,http://gp13almaty.kz,,https://instagram.com/gp13almaty,,,,,43.31643,76.939079,https://2gis.com/firm/9429940000843667,branch
Городская поликлиника №9,,Взрослые поликлиники; Детские поликлиники,"улица Шолохова, 17",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-16:00,+05:00,3.8,395,87272996246 (вызов врача на дом),87272996247 (вызов врача на дом),87272996209 (регистратура детской поликлиники),,,https://instagram.com/gp9_almaty,https://facebook.com/gp9.kz,,,,43.336323,76.947618,https://2gis.com/firm/9429940000794546,branch
