Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Elite Child,частный детский сад,Частные детские сады; Логопед,"улица Байшешек, 1",,050044,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,5.0,9,87059002006,,,elitechild@mail.ru,,,,https://instagram.com/elitechild.kz,,,https://wa.me/77059002006,,,,,,,,43.213165,76.92339,https://2gis.com/firm/70000001076456786,branch
Чудесная страна,частный детский сад,Частные детские сады,"Радлова улица, 22",,050010,Кок-Тобе м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.6,16,87078207101,,,,,,,https://instagram.com/chudesnaya_strana_,https://facebook.com/chudo.strana.medeuskiy,,https://wa.me/77077888052,https://wa.me/77000333945,,,,,,,43.24379,76.973777,https://2gis.com/firm/70000001034936701,branch
Дар речи,​детский сад с предшкольной подготовкой,Частные детские сады; Центры раннего развития детей; Логопед; Помощь в обучении,"улица Альма-матер, 9",,,Рахат (Наурызбайский район) м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:00; Вт: 08:30-18:00; Ср: 08:30-18:00; Чт: 08:30-18:00; Пт: 08:30-18:00; Сб: 08:30-18:00; Вс: 08:30-18:00,+05:00,5.0,6,87788133190,87475224952 (монтессори),,,,,,https://instagram.com/dar_rechi_almaty,,,https://wa.me/77788133190,,,,,,,,43.190588,76.858113,https://2gis.com/firm/70000001080012307,branch
Almaland,частный детский сад,Частные детские сады,"улица Огородная, 8",,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30 (по предварительной записи),+05:00,4.3,59,87477230374,,,,,,,https://instagram.com/almaland_kids,https://facebook.com/Almaland,,,,,,,,,,43.23221,76.929766,https://2gis.com/firm/70000001017973629,branch
Samruk kids club,частный детский сад,Частные детские сады,"улица Ораза Абишева, 46",,050045,Нур Алатау м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,5.0,22,87058658551,,,too_parassat@mail.ru,,,,https://instagram.com/samruk.kids.club,,,https://wa.me/77058658551,,,,,https://t.me/+77058658551,,,43.174438,76.895557,https://2gis.com/firm/70000001061881447,branch
Dastur 2,частный детский сад,Частные детские сады,"Мамыр-4 микрорайон, 119",,050036,Мамыр-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,5.0,12,87076856960,87075575039,87015575039,,,,,https://instagram.com/dastur_balabaksha_2,,,https://wa.me/77076856960,https://wa.me/77015575039,,,,,,,43.217476,76.844146,https://2gis.com/firm/70000001052404749,branch
АЛИМ,,Частные детские сады; Центры раннего развития детей,"2-й микрорайон, 7а",,050062,2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.7,86,87711292564,,,detsadalim@mail.ru,,,,https://instagram.com/detsad_alim,https://facebook.com/detsadalim7a,https://vk.com/detsadalim,https://wa.me/77711292564,,,,,,,,43.233692,76.855893,https://2gis.com/firm/9429940001172303,branch
Magic Kingdom,частный детский сад,Частные детские сады; Логопед,"улица Тажибаевой, 157 к2",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.5,59,87478222159,,,mkingdom0111@gmail.com,,,,https://instagram.com/magickingdom_almaty,,,https://wa.me/77478222159,,,,,https://t.me/+77478222159,,,43.207795,76.891003,https://2gis.com/firm/70000001056354850,branch
Маленькая страна,частный детский сад,Частные детские сады,"улица Манаса, 14",,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 08:00-13:00, 15:00-19:00; Вт: 08:00-13:00, 15:00-19:00; Ср: 08:00-13:00, 15:00-19:00; Чт: 08:00-13:00, 15:00-19:00; Пт: 08:00-13:00, 15:00-19:00",+05:00,4.8,37,87775871112,,,issabanel@gmail.com,,,,https://instagram.com/malenkaya_strana14,,,https://wa.me/77775871112,,,,,,,,43.247713,76.907825,https://2gis.com/firm/9429940001093431,branch
Teams Kindergarten,,Частные детские сады,"6-й переулок, 25/1 блок 4",,050044,Ерменсай м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,5.0,20,87071332494,,,teams.kindergarten.kz@gmail.com,,,,https://instagram.com/teams.almaty,,,https://wa.me/77071332494,,,,,,,,43.196049,76.932297,https://2gis.com/firm/70000001080853327,branch
Academ Kids,детский центр,Частные детские сады; Центры раннего развития детей; Спортивные секции; Детские / подростковые клубы,"улица Хусаинова, 198",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.7,22,87053097799,87006402090,,,,,,https://instagram.com/academkids.kz,,,https://wa.me/77006402090,https://wa.me/77053097799,,,,,,,43.210464,76.8924,https://2gis.com/firm/70000001066682252,branch
Happy Land,частный детский сад,Частные детские сады; Центры раннего развития детей,"улица Вольная, 14",,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00 (дежурная группа: пн-пт 18:00-19:00),+05:00,4.1,98,87772260626,,,h-land12@mail.ru,,http://www.happyland.kz,,https://instagram.com/happylandalmaty,https://facebook.com/hland.kz,,https://wa.me/77772260626,,,,,,,,43.272392,76.928976,https://2gis.com/firm/9429940000792627,branch
FasTracKids,образовательный центр,Частные детские сады; Центры раннего развития детей; Логопед; Детские лагеря,"улица Басбатыр, 7",,050010,Кок-Тобе м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,5.0,37,87073424212,,,neuroftk@mail.ru,,http://fastrackids-neuro.com,,https://instagram.com/fastrackids_neuro,,,https://wa.me/77073424212,,,,,https://t.me/+77073424212,,,43.24657,76.970873,https://2gis.com/firm/70000001063288431,branch
Ивушка,детский сад,Частные детские сады,"проспект Сейфуллина, 516",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.2,44,87015575147,87272275368,87272673652,,,http://ivushkasadik.kz,,https://instagram.com/ivushka_sadik,,,https://wa.me/77015575147,,,,,,,,43.247617,76.934893,https://2gis.com/firm/9429940000795153,branch
Kids smile,частный детский сад,Частные детские сады,"улица Новгородская, 5",,050050,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,3.6,21,87750522202,87087599859,,,,,,https://instagram.com/kidssmile_alm,,,https://wa.me/77087599859,https://wa.me/77750522202,,,,,,,43.270966,76.927164,https://2gis.com/firm/70000001063438053,branch
Новое Поколение,детский образовательный центр,Частные детские сады; Центры раннего развития детей; Логопед,"микрорайон Мамыр 7, 8/1",,050036,Достык м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.7,59,87773713688,87073500804,,jana_urpaq@mail.ru,,,,https://instagram.com/jana_urpaq_balabaksha,,,https://wa.me/77773713688,https://wa.me/77073500804,,,,,,,43.215868,76.837401,https://2gis.com/firm/70000001052231566,branch
Тип-Топ,частный детский сад,Частные детские сады,"улица Орманова, 32/3",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:10-18:30; Вт: 08:10-18:30; Ср: 08:10-18:30; Чт: 08:10-18:30; Пт: 08:10-18:30,+05:00,4.6,17,87272412731,87072920611,,,,,,https://instagram.com/sadtiptop.kz,https://facebook.com/100016794781046,,https://wa.me/77072920611,,,,,,,,43.258813,76.971387,https://2gis.com/firm/70000001022066557,branch
Sana,частный детский сад,Частные детские сады; Нейропсихолог; Дефектолог; Начальные школы-детские сады / Прогимназии; Логопед,"улица Навои, 208/7",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.8,24,87758627721,,,zhibek10.04.1991@mail.ru,,,,https://instagram.com/sana.balabaqsha,,,https://wa.me/77758627721,,,,,,,,43.205505,76.886393,https://2gis.com/firm/70000001084330466,branch
Радуга-Land,частный детский сад,Частные детские сады,"улица Тохтарова, 6",,050052,Таугуль-3 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,5.0,18,87077022092,87077665296,,raduga.land@mail.ru,,http://land-kindergarten.business.site,,https://instagram.com/detskysadraduga,,,https://wa.me/77077022092,https://wa.me/77077665296,,,,https://t.me/+77077022092,,,43.198674,76.851745,https://2gis.com/firm/70000001020082377,branch
Kulpash,частный детский сад,Частные детские сады,"улица Жуковского, 12",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,5.0,8,87781156749,,,,,,,https://instagram.com/sad_kulpash,,,https://wa.me/77781156749,,,,,,,,43.252127,76.967271,https://2gis.com/firm/70000001068015774,branch
Apple Tree International School,английская международная школа-детский сад,Частные детские сады; Начальные школы-детские сады / Прогимназии; Школы,"улица Зеина Шашкина, 3",1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-16:45; Вт: 08:00-16:45; Ср: 08:00-16:45; Чт: 08:00-16:45; Пт: 08:00-16:45,+05:00,4.3,7,87015129854,,,info@appletreeschool.kz,,,,https://instagram.com/atis_almaty,https://facebook.com/appletree.almaty,,https://wa.me/77015129854,,,,,,,,43.224661,76.928836,https://2gis.com/firm/9429940000802173,branch
Babycare,частный детский сад,Частные детские сады,"улица Кастеева, 74",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.5,49,87087449159,87085646611,,babycare2014@mail.ru,,,,https://instagram.com/babycare_kindergarten,,,https://wa.me/77087449159,,,,,,,,43.247643,76.967345,https://2gis.com/firm/9429940001580624,branch
Interschool,детский образовательный центр,Частные детские сады; Центры раннего развития детей; Языковые школы; Детские лагеря; Логопед,"Богенбай батыра улица, 52",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-18:30; Вт: 08:30-18:30; Ср: 08:30-18:30; Чт: 08:30-18:30; Пт: 08:30-18:30,+05:00,4.9,31,87012107701,,,interschoolkz@yandex.kz,,,,https://instagram.com/interschool.almaty,https://facebook.com/interschoolkz,,,,,,,,,https://youtube.com/channel/UCng4n_fW1AwpmpI-9IqFFuA,43.254438,76.966378,https://2gis.com/firm/70000001074855468,branch
Кайсар,детский центр,Частные детские сады; Центры раннего развития детей; Спортивные секции,"улица Тажибаевой, 176",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+05:00,4.6,41,87477107330,87273775872,87273271002,,,,,https://instagram.com/qaisar_dc,,,https://wa.me/77477107330,,,,,,,,43.214597,76.891102,https://2gis.com/firm/9429940000929027,branch
Болашак галым,частный детский сад,Частные детские сады,"улица Жарокова, 278а",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00,+05:00,4.9,16,87076474405,,,bolashak.galym@gmail.com,,,,https://instagram.com/bolashak_galym,,,https://wa.me/77000558065,,,,,,,,43.208042,76.904731,https://2gis.com/firm/70000001025226759,branch
Иргели baby,частный детский сад,Частные детские сады,"улица Достык, 101",1-3 этаж,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,5.0,10,87771874213,,,d_sakyp@mail.ru,,http://irgelibaby.2gis.biz,,https://instagram.com/irgeli.baby,,,https://wa.me/77771874213,,,,,,,,43.231798,76.758563,https://2gis.com/firm/70000001059250892,branch
 Lolo-Жеті Бата ,детский сад,Частные детские сады,"Новый переулок, 16",,050038,Акбулак м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.7,21,87073533650,87773533655,,,,,,https://instagram.com/7.bata_lolo,,,https://wa.me/77773533655,https://wa.me/77073533650,,,,,,,43.250323,76.83603,https://2gis.com/firm/70000001063520029,branch
Роза,частный детский сад,Частные детские сады,"улица Аубакирова, 118",,050065,Шанырак-2 м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.6,22,87773533655,87073533650,,,,,,,,,https://wa.me/77073533650,https://wa.me/77773533655,,,,,,,43.293756,76.848079,https://2gis.com/firm/70000001036889345,branch
Елік-Ай,частный детская сад,Частные детские сады,"улица Достык, 60",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:30; Вт: 07:30-18:30; Ср: 07:30-18:30; Чт: 07:30-18:30; Пт: 07:30-18:30,+05:00,5.0,2,87786646284,,,,,,,https://instagram.com/elik_ai.balabakshasy,,,https://wa.me/77786646284,,,,,,,,43.235598,76.758766,https://2gis.com/firm/70000001064648233,branch
БАЛМИРА,частный детский сад,Частные детские сады,"улица Нурлы-Тан, 35",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-19:00; Вт: 07:00-19:00; Ср: 07:00-19:00; Чт: 07:00-19:00; Пт: 07:00-19:00,+05:00,1.8,12,87755296573,87023271069,,,,,,,,,https://wa.me/77755296573,https://wa.me/77023271069,,,,,,,43.232088,76.750798,https://2gis.com/firm/70000001033482195,branch
Балажан,частный детский сад,Частные детские сады,"улица Момышулы, 105",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+05:00,2.4,5,87001722172,87013452597,87013452598,,,,,https://instagram.com/balazhan_irgeli,,,https://wa.me/77001722172,https://wa.me/77013452587,https://wa.me/77013452597,,,,,,43.229702,76.757136,https://2gis.com/firm/70000001068607060,branch
Anissa kids ,частный детский сад,Частные детские сады,"улица Шугыла, 58",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,1.0,1,87471513736,,,,,,,,,,,,,,,,,,43.237416,76.759181,https://2gis.com/firm/70000001083430647,branch
Умай Ана,частный детский сад,Частные детские сады,"улица Асыл Арман, 10",1 этаж,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,2.6,3,87477872034,87055020299,87781285810,,,,,https://instagram.com/umaiana_asylarman,,,https://wa.me/77477872034,https://wa.me/77055020299,https://wa.me/77781285810,,,,,,43.230794,76.752704,https://2gis.com/firm/70000001036806224,branch
Акбота-Аселек,частный детский сад,Частные детские сады,"улица Шугыла, 13а",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-18:00; Вт: 07:00-18:00; Ср: 07:00-18:00; Чт: 07:00-18:00; Пт: 07:00-18:00,+05:00,,,87073006025,87073887577,,,,,,https://instagram.com/detskii_sa_akbota_aselek8,,,https://wa.me/77073006025,https://wa.me/77073887577,,,,,,,43.237037,76.761722,https://2gis.com/firm/70000001064662144,branch
Ақбота-Ж,частный детский сад,Частные детские сады,"улица Шугыла, 56",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,1.7,3,87471513736,,,,,,,,,,,,,,,,,,43.237318,76.759403,https://2gis.com/firm/70000001083430601,branch
Даниэлья,частный детский сад,Частные детские сады,"улица Медеу, 257",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,5.0,7,87059511151,,,,,,,https://instagram.com/danielya_sadik_irgeli,,,https://wa.me/77059511151,,,,,,,,43.238324,76.748424,https://2gis.com/firm/70000001063484054,branch
Ай Дай,частный детский сад,Частные детские сады,"6-й квартал, 126",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,4.3,7,87012479479,,,,,,,https://instagram.com/ai_dai.kz,,,https://wa.me/77012479479,,,,,,,,43.229489,76.745739,https://2gis.com/firm/70000001052499488,branch
Акбота-Ж,частный детский сад,Частные детские сады,"улица Шугыла, 56",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,2.5,7,87074859525,,,,,,,,,,https://wa.me/77074859525,,,,,,,,43.237353,76.759409,https://2gis.com/firm/70000001034602567,branch
Baby stars,частный детский сад,Частные детские сады,"улица Райымбека, 7",,040905,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:00; Вт: 07:30-18:00; Ср: 07:30-18:00; Чт: 07:30-18:00; Пт: 07:30-18:00,+05:00,4.4,26,87029767381,,,,,,,https://instagram.com/babystars_kindergarten,,,https://wa.me/77029767381,,,,,,,,43.216946,76.755145,https://2gis.com/firm/70000001061725852,branch
Балдаурен 2,детские сады,Частные детские сады,"6-й квартал, 238",1-2 этаж,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,2.0,4,87078529836,87784312434,,,,,,https://instagram.com/baldauren_sadik2,,,https://wa.me/77078529836,,,,,,,,43.229971,76.744364,https://2gis.com/firm/70000001065263893,branch
Жания,частный детский сад,Частные детские сады,"улица Абая, 11/21",,040905,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-18:30; Вт: 07:00-18:30; Ср: 07:00-18:30; Чт: 07:00-18:30; Пт: 07:00-18:30,+05:00,2.8,74,87478939918,87013186657,,,,,,https://instagram.com/sadik.zhaniya,,,https://wa.me/77478939918,https://wa.me/77013186657,,,,,,,43.21869,76.766994,https://2gis.com/firm/70000001065307916,branch
Алтын 1,частный детский сад,Частные детские сады,"улица Абая, 56",,040905,,,,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-18:15; Вт: 07:30-18:15; Ср: 07:30-18:15; Чт: 07:30-18:15; Пт: 07:30-18:15,+05:00,4.7,14,87474822405,87478189395,,,,,,,,,https://wa.me/77474822405,https://wa.me/77478189395,,,,,,,43.214248,76.766803,https://2gis.com/firm/70000001065307898,branch
Айлин,частный детский сад,Частные детские сады,"улица Кок дала, 45",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,,,87020664391,,,,,,,,,,https://wa.me/77020664391,,,,,,,,43.236245,76.748724,https://2gis.com/firm/70000001089790994,branch
Тимош,частный детский сад,Частные детские сады,"улица Достык, 31",,040923,,,,Карасайский район,Алматинская область,Казахстан,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,4.4,8,87077766147,,,,,,,https://instagram.com/timosh.sad,,,https://wa.me/77077766147,,,,,,,,43.215469,76.748644,https://2gis.com/firm/70000001063738434,branch
