Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Арт-убежище Bunker,театр,Театры,"улица Досмухамедова, 78а",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+05:00,4.7,102,87784656678,,,http://bunker.kz,https://instagram.com/bunkerkz_,,https://facebook.com/bunkerkz,https://vk.com/bunker_kz,https://wa.me/77784656678,,https://t.me/bunkertheatre,,43.247677,76.925166,https://2gis.com/firm/70000001019611920,branch
Республиканский Государственный Академический уйгурский театр музыкальной комедии им. К. Кужамьярова,,Театры,"улица Наурызбай батыра, 83",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,3.6,34,87272725933,87272728892,87272728276 (касса),http://uyghurtheatre.kz,https://instagram.com/uyghurtheatrekz,,,,,,,,43.251155,76.936187,https://2gis.com/firm/9429940000799784,branch
Сезам,театр кукол,Театры,"проспект Абая, 103",3 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.4,28,87017124546,87007226191,,http://www.sezam.kz,https://instagram.com/teatr_sezam,,,,https://wa.me/77017124546,https://wa.me/77007226191,,,43.241209,76.917943,https://2gis.com/firm/9429940000800252,branch
Бата,театр,Театры,"улица Макатаева, 127/3",2 этаж; правое крыло,,,Алмалинский район,Алматы,,Алматы,Казахстан,Вт: 18:00-22:30 (по предварительной записи),+05:00,5.0,6,87771720033,87058771890,,http://batatheatre.kz/,https://instagram.com/bata_theatre,,,,https://wa.me/77771720033,,,,43.26285,76.9245,https://2gis.com/firm/70000001038575315,branch
ARTиШОК,большая сцена,Театры,"улица Гоголя, 40",2 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.1,93,"87766282625 (единая справочная: пн-вс 10:00-19:00, перерыв: 14:00-15:00)","87772274837 (единая справочная: пн-вс 10:00-19:00, перерыв: 14:00-15:00)",,http://artishock.kz,https://instagram.com/artishock_theatre,,,,https://wa.me/77766282625,,https://t.me/theatre_artishock,,43.259821,76.954359,https://2gis.com/firm/70000001028778656,branch
Государственный театр кукол,,Театры,"улица Пушкина, 63",,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (касса: вт-вс 10:00-18:00 ),+05:00,4.4,127,87272222010,87272347921,,http://puppet.kz,https://instagram.com/kuyrshak_teatry,,https://facebook.com/kuyrshakteatry,,,,,,43.261404,76.952433,https://2gis.com/firm/9429940000794592,branch
Interius,театр,Театры,"улица Ришата и Муслима Абдуллиных, 38",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 19:00-22:00; Вт: 19:00-22:00; Ср: 19:00-22:00; Чт: 19:00-22:00; Пт: 19:00-22:00; Сб: 17:00-23:00; Вс: 17:00-23:00,+05:00,4.6,78,87714911892,,,http://ticketon.kz/spektakli-teatra-interius-v-kz,https://instagram.com/interius_world,,,,https://wa.me/77714911892,,,,43.258639,76.9601,https://2gis.com/firm/70000001069350601,branch
Зазеркалье,кукольный театр,Театры,"проспект Абая, 117",1 этаж,050008,,Алмалинский район,Алматы,,Алматы,Казахстан,Сб: 11:00-12:00; Вс: 11:00-12:00,+05:00,4.4,16,87272778930,87273281418,87772211303,http://www.zazerkalye.com,https://instagram.com/teatrkukolzazerkalye,,,,https://wa.me/77772211303,,,,43.23977,76.901425,https://2gis.com/firm/9429940001560658,branch
ARTиШОК,малая сцена,Театры,"улица Кунаева, 49",цокольный этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,32,"87766282625 (единая справочная: пн-вс 10:00-19:00, перерыв: 14:00-15:00)","87772274837 (единая справочная: пн-вс 10:00-19:00, перерыв: 14:00-15:00)",,http://artishock.kz,https://instagram.com/artishock_theatre,,,,https://wa.me/77766282625,,https://t.me/theatre_artishock,,43.261939,76.948832,https://2gis.com/firm/9429940000785615,branch
Государственный академический театр танца,,Театры,"улица Радостовца, 42",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.4,7,87273793477 (касса),87073605800 (касса),87273794118,http://gattrk.kz,https://instagram.com/theatre_of_dance,,,,,,,,43.245348,76.892117,https://2gis.com/firm/9429940000794588,branch
2act,театр,Театры,"Самал-3 микрорайон, 1",вход со двора; вход с ул. Изганова,050059,Самал-3 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.8,49,87054395294,87059131574,,http://taplink.cc/2act,https://instagram.com/2act_theatre,,,,https://wa.me/77054395294,,https://t.me/to_act,,43.227677,76.958483,https://2gis.com/firm/70000001074560225,branch
Трансформа,культурное пространство и театр,Театры,"Барибаева улица, 36",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00 (по предварительному звонку),+05:00,4.6,12,87074930049,,,,https://instagram.com/transforma.kz,,https://facebook.com/transforma.kz,,https://wa.me/77074930049,,https://t.me/transformakz,,43.260273,76.96363,https://2gis.com/firm/70000001030376400,branch
Республиканский академический немецкий драматический театр,,Театры,"улица Папанина, 70/1",,050056,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.8,46,87778272890,87273848430,,http://nemetski.kz,https://instagram.com/nemetski.kz,,https://facebook.com/nemetski.kz,,,,,,43.302918,76.956115,https://2gis.com/firm/70000001031280183,branch
